Date;Amount
03.06.2020;9.935
28.05.2020;5.494
20.05.2020;3.832
13.05.2020;3.511
06.05.2020;9.518
29.04.2020;5.092
22.04.2020;7.876
15.04.2020;6.280
08.04.2020;0.476
01.04.2020;-2.194
25.03.2020;-0.679
18.03.2020;-2.940
11.03.2020;-6.404
04.03.2020;-4.008
26.02.2020;-2.114
20.02.2020;-0.636
12.02.2020;-2.013
05.02.2020;-1.512
29.01.2020;-1.289
23.01.2020;-1.185
15.01.2020;8.171
08.01.2020;5.330
03.01.2020;8.776
27.12.2019;-0.152
18.12.2019;1.509
11.12.2019;4.118
04.12.2019;3.063
27.11.2019;0.725
20.11.2019;-0.974
14.11.2019;-2.477
06.11.2019;-0.622
30.10.2019;-1.032
23.10.2019;-2.715
17.10.2019;-3.823
09.10.2019;-3.943
02.10.2019;-2.418
25.09.2019;-2.978
18.09.2019;0.437
11.09.2019;2.704
05.09.2019;-2.538
28.08.2019;-2.063
21.08.2019;2.6
14.08.2019;-1.938
07.08.2019;1.529
31.07.2019;-0.894
24.07.2019;0.613
17.07.2019;5.686
10.07.2019;3.729
03.07.2019;1.408
26.06.2019;-2.441
19.06.2019;-0.551
12.06.2019;-1
05.06.2019;4.572
30.05.2019;-1.615
22.05.2019;0.768
15.05.2019;0.084
08.05.2019;-0.159
01.05.2019;-1.307
24.04.2019;-0.662
17.04.2019;-0.362
10.04.2019;-0.116
03.04.2019;-1.998
27.03.2019;-2.075
20.03.2019;-4.127
13.03.2019;0.383
06.03.2019;-2.393
27.02.2019;-0.304
21.02.2019;-1.517
13.02.2019;1.187
06.02.2019;-2.257
30.01.2019;-1.122
24.01.2019;-0.617
16.01.2019;2.967
09.01.2019;10.611
04.01.2019;9.529
28.12.2018;0.002
19.12.2018;-4.237
12.12.2018;-1.475
06.12.2018;3.811
28.11.2018;2.610
21.11.2018;-0.077
15.11.2018;-3.589
07.11.2018;-3.465
31.10.2018;-4.054
24.10.2018;-2.262
17.10.2018;-0.827
11.10.2018;-2.666
03.10.2018;-1.750
26.09.2018;-2.241
19.09.2018;0.839
12.09.2018;6.163
06.09.2018;3.119
29.08.2018;-0.837
22.08.2018;1.849
15.08.2018;3.566
08.08.2018;1.23
01.08.2018;2.983
25.07.2018;-0.101
18.07.2018;-0.371
11.07.2018;4.125
05.07.2018;0.134
27.06.2018;0.015
